,Country,Year,Month,Semana,Nombre de la campaña,Campaign Consolidated,Impresiones,impresiones max,impresiones min,impresiones avg,Importe gastado,importe max,importe min,importe avg,Fecha inicio,sem_inicio,abreviatura,Marca,Pais,num_campaign,campaign avg,venta_agrupada,venta max,venta min,venta avg,tipo,score_lineal_norm
0,BR,2022,10,2022-10-08 - 2022-10-14,BD_BR_AWR_Sep22_PT_RENUEVA-TU-HOGAR_REG_R&F,Renueva tu hogar,13434206.0,13434206.0,68812.0,2458223.8,5910.83,5910.83,45.42,1684.5592323550002,2022-10-08,202240,BD,BLACK+DECKER,Brasil,10,6.75,377770.4365274715,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,2.302617747070991
1,BR,2022,9,2022-09-17 - 2022-09-23,BD_BR_AWR_Sep22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,14725712.0,14725712.0,5.0,2695000.75,6596.84000015,6596.84000015,0.00999994,1538.63875003375,2022-09-17,202237,BD,BLACK+DECKER,Brasil,8,6.75,480633.36128932674,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,2.255385804870897
2,BR,2022,10,2022-10-01 - 2022-10-07,BD_BR_AWR_Sep22_PT_RENUEVA-TU-HOGAR_REG_R&F,Renueva tu hogar,21785125.0,21785125.0,188974.0,3936433.25,9585.35,9585.35,147.23003587,2104.1362544837502,2022-10-01,202239,BD,BLACK+DECKER,Brasil,8,6.75,386786.29016348533,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,2.227258619512094
3,BR,2022,6,2022-06-11 - 2022-06-17,BDA_BR_AWR_Freestyle,Freestyle,22814791.0,22814791.0,8.0,3932340.0,8227.2600001,8227.2600001,0.02000023,1583.1500000549997,2022-06-11,202223,BD,BLACK+DECKER,Brasil,6,6.75,410910.70962429995,28973.906398930718,-149.20575005503042,70.4743949978772,top12_sem_marca,2.152321937904807
4,BR,2022,6,2022-06-18 - 2022-06-24,BDA_BR_AWR_Freestyle,Freestyle,28011010.0,28011010.0,15.0,4843346.5,9604.96000031,9604.96000031,0.01,1864.688333385,2022-06-18,202224,BD,BLACK+DECKER,Brasil,6,6.75,381142.19681316375,28973.906398930718,-149.20575005503042,70.4743949978772,top12_sem_marca,2.139071454418988
5,BR,2022,10,2022-10-15 - 2022-10-21,BD_BR_ENGT_OCT22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,9806563.0,9806563.0,6056.0,2063503.375,9073.80999987,9073.80999987,0.38,2062.6175278412497,2022-10-15,202241,BD,BLACK+DECKER,Brasil,8,6.75,425764.89362051757,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,2.099715542477634
6,BR,2022,9,2022-09-24 - 2022-09-30,BD_BR_AWR_Sep22_PT_RENUEVA-TU-HOGAR_REG_R&F,Renueva tu hogar,22101194.0,22101194.0,151002.0,4245677.285714285,9724.74999948,9724.74999948,149.56,2478.0742857057144,2022-09-24,202238,BD,BLACK+DECKER,Brasil,7,6.75,422040.793693072,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,2.062101535034879
7,BR,2022,6,2022-06-25 - 2022-07-01,BDA_BR_AWR_Freestyle,Freestyle,26735860.0,26735860.0,81848.0,5471190.6,9784.17000322,9784.17000322,125.81,2169.527996884,2022-06-25,202225,BD,BLACK+DECKER,Brasil,5,6.75,366374.3499282357,28973.906398930718,-149.20575005503042,70.4743949978772,top12_sem_marca,1.9598044490623465
8,BR,2022,10,2022-10-22 - 2022-10-28,BD_BR_ENGT_OCT22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,8781189.0,8781189.0,954.0,2163351.714285714,7557.99999954,7557.99999954,0.01000031,2117.32999972,2022-10-22,202242,BD,BLACK+DECKER,Brasil,7,6.75,410633.7654378793,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.9490712973778355
9,BR,2022,9,2022-09-10 - 2022-09-16,BD_BR_AWR_Sep22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,5345239.0,5345239.0,14.0,1130053.5,2423.86,2423.86,0.03000022,766.8133333700001,2022-09-10,202236,BD,BLACK+DECKER,Brasil,6,6.75,460440.03865289554,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.9205892090259056
10,BR,2022,6,2022-06-04 - 2022-06-10,BDA_BR_AWR_Freestyle,Freestyle,12259111.0,12259111.0,16714.0,2549162.0,6178.11999908,6178.11999908,35.88,1365.233999816,2022-06-04,202222,BD,BLACK+DECKER,Brasil,5,6.75,384721.4447562419,28973.906398930718,-149.20575005503042,70.4743949978772,top12_sem_marca,1.9080497805024144
11,BR,2022,7,2022-07-16 - 2022-07-22,BDA_BR_ENGT_Freestyle,Freestyle,4750990.0,4750990.0,4.0,1203280.2,4560.71000099,4560.71000099,0.01000033,1361.434000264,2022-07-16,202228,BD,BLACK+DECKER,Brasil,5,6.75,438426.035847318,28973.906398930718,-149.20575005503042,70.4743949978772,top12_sem_marca,1.788673164993702
12,MX,2022,11,2022-11-05 - 2022-11-11,BD_MX_ECOM_NOV22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,5852308.0,5852308.0,150120.0,1713294.0,3155.75,3155.75,117.08,1003.2574999999999,2022-11-05,202244,BD,BLACK+DECKER,Mexico,4,3.1666666666666665,313346.4963748487,20352.430516034223,-287.89129936182144,119.08885824032664,top12_sem_marca,1.4959991157102803
13,MX,2022,10,2022-10-29 - 2022-11-04,BD_MX_ENGT_OCT22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,3459838.0,3459838.0,349540.0,1256837.75,3415.78020483,3415.78020483,214.87,1228.45505543,2022-10-29,202243,BD,BLACK+DECKER,Mexico,4,3.1666666666666665,268862.28201080416,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.4046236674503907
14,MX,2022,3,2022-03-12 - 2022-03-18,BD_MX_AWR_MAR22_PT_POWERCONNECT,Powerconnect,16398881.0,16398881.0,1649.0,5467535.666666667,5342.56998024,5342.56998024,2.74,1783.0499934133334,2022-03-12,202210,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,353190.6293402404,28973.906398930718,-149.20575005503042,70.4743949978772,top12_sem_marca,1.3830085964455625
15,MX,2022,3,2022-03-26 - 2022-04-01,BD_MX_AWR_MAR22_PT_POWERCONNECT,Powerconnect,8105699.0,8105699.0,65257.0,2812777.0,2853.25002597,2853.25002597,110.09,1117.8100086566667,2022-03-26,202212,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,367252.4805940956,5194.556804309691,-16.367689997260868,88.83981998961741,top12_sem_marca,1.3795267084894898
16,MX,2022,3,2022-03-19 - 2022-03-25,BD_MX_AWR_MAR22_PT_POWERCONNECT,Powerconnect,15400202.0,15400202.0,194650.0,5265584.666666667,5316.21,5316.21,215.57,1950.95,2022-03-19,202211,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,378982.6735717461,5194.556804309691,-16.367689997260868,88.83981998961741,top12_sem_marca,1.3568674879376594
17,MX,2022,9,2022-09-24 - 2022-09-30,BD_MX_AWR_SEP22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,24105972.0,24105972.0,287693.0,8510208.333333334,7761.57,7761.57,926.47011453,3416.9300384333333,2022-09-24,202238,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,371407.9663023658,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.3239669115659427
18,MX,2022,9,2022-09-17 - 2022-09-23,BD_MX_AWR_SEP22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,23708457.0,23708457.0,364057.0,8555279.666666666,7860.35,7860.35,930.22999936,3453.2633345199997,2022-09-17,202237,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,401045.30340838357,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.310224404524204
19,MX,2022,12,2022-12-03 - 2022-12-09,BD_MX_ECOM_NOV22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,5944656.0,5944656.0,1196791.0,2865400.3333333335,3301.17,3301.17,805.74,1654.4833333333333,2022-12-03,202248,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,372288.0225075342,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.249459082505121
20,MX,2022,9,2022-09-10 - 2022-09-16,BD_MX_AWR_SEP22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,5893053.0,5893053.0,348689.0,2650541.6666666665,2064.17,2064.17,930.87,1456.9499962233333,2022-09-10,202236,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,409685.9709828141,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.2477247552849067
21,MX,2022,10,2022-10-22 - 2022-10-28,BD_MX_ENGT_OCT22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,9944319.0,9944319.0,304508.0,3527924.0,9580.66000504,9580.66000504,221.11999322,3577.26666372,2022-10-22,202242,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,294499.55789042986,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.2259532550602816
22,MX,2022,9,2022-09-03 - 2022-09-09,BD_MX_SEP22_PT_EXTEN-SOCIAL-ECOM,ECOM Boost,514822.0,514822.0,65262.0,285381.6666666667,356.69998935,356.69998935,182.02,251.63999645,2022-09-03,202235,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,413789.4954317972,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.1835860041815676
23,MX,2022,7,2022-07-23 - 2022-07-29,BD_MX_JUL22_PT_SOCIAL-ECOM,ECOM Boost,985121.0,985121.0,158297.0,541395.3333333334,611.89,611.89,359.27,503.24666666666667,2022-07-23,202229,BD,BLACK+DECKER,Mexico,3,3.1666666666666665,365330.99521833117,28973.906398930718,-149.20575005503042,70.4743949978772,top12_sem_marca,1.169136386633103
24,BR,2022,11,2022-11-26 - 2022-12-02,DW_BR_CONV_GrowTheCore-2,Grow The Core,5225058.0,5225058.0,61102.0,1588503.3333333333,2639.5,2639.5,54.19,1028.3383333333334,2022-11-26,202247,DW,DEWALT,Brasil,6,6.5,862469.8545999903,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.6377651414113386
25,BR,2022,10,2022-10-15 - 2022-10-21,DW_BR_ECOM_OCT22_HT_lasers_LOCAL,Lasers DW,7603539.0,7603539.0,91194.0,2509826.1428571427,5520.57999772,5520.57999772,179.23010817,1436.0314436985716,2022-10-15,202241,DW,DEWALT,Brasil,7,6.5,649408.0332564568,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.6310953792842449
26,BR,2022,10,2022-10-01 - 2022-10-07,DW_BR_ENGT_SEP22_HT_lasers_LOCAL,Lasers DW,13823739.0,13823739.0,307815.0,4467211.0,6193.89,6193.89,200.12,2341.6333113433334,2022-10-01,202239,DW,DEWALT,Brasil,6,6.5,652823.2357102575,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.6143285547629065
27,BR,2022,11,2022-11-12 - 2022-11-18,DW_BR_ECOM_OCT22_PT_CORDLESS_REG,Cordless DW,5982623.0,5982623.0,115685.0,2060952.25,2743.83,2743.83,54.76987913,1149.52123489125,2022-11-12,202245,DW,DEWALT,Brasil,8,6.5,732628.2458257098,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.5689710818488742
28,BR,2022,10,2022-10-08 - 2022-10-14,DW_BR_ENGT_SEP22_HT_lasers_LOCAL,Lasers DW,6232085.0,6232085.0,131555.0,2139641.3333333335,3569.64,3569.64,53.94,1350.257765738889,2022-10-08,202240,DW,DEWALT,Brasil,9,6.5,625399.9079178567,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.5547703602023655
29,BR,2022,11,2022-11-19 - 2022-11-25,DW_BR_CONV_GrowTheCore-2,Grow The Core,4707535.0,4707535.0,457003.0,1965457.8,2624.32,2624.32,395.5,1298.41,2022-11-19,202246,DW,DEWALT,Brasil,5,6.5,695456.9024751498,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.4908377138366218
30,BR,2022,9,2022-09-24 - 2022-09-30,DW_BR_ENGT_SEP22_HT_lasers_LOCAL,Lasers DW,6713305.0,6713305.0,413240.0,2760995.0,6318.9300018,6318.9300018,200.27015194,2930.554030884,2022-09-24,202238,DW,DEWALT,Brasil,5,6.5,686202.7255013676,70784.82094115416,-885.5796751917983,283.9040953202523,top12_sem_marca,1.4330953929518153
31,BR,2022,11,2022-11-05 - 2022-11-11,DW_BR_ECOM_OCT22_PT_CORDLESS_REG,Cordless DW,5989082.0,5989082.0,382259.0,2638648.6666666665,2850.93,2850.93,175.43987559,1393.6783125983332,2022-11-05,202244,DW,DEWALT,Brasil,6,6.5,520747.6729064608,20352.430516034223,-287.89129936182144,119.08885824032664,top12_sem_marca,1.4182326042318296
